guiltyid,levelofcrime,typeofcrime
76199,colleague,type1
94635,colleague,type1
11443,colleague,type1
82726,colleague,type1
78865,colleague,type1
93295,colleague,type1
23512,colleague,type1
62065,colleague,type1
63711,colleague,type1
34121,colleague,type1
53801,colleague,type1
41429,colleague,type1
12806,colleague,type1
58732,colleague,type1
9507,colleague,type1
61512,colleague,type1
87991,colleague,type1
83840,colleague,type1
30584,colleague,type1
17423,colleague,type1
44570,colleague,type1
72623,colleague,type1
6322,colleague,type1
19592,colleague,type1
21254,colleague,type1
54400,colleague,type1
8552,colleague,type1
80966,colleague,type1
46860,colleague,type1
7203,colleague,type1
11667,colleague,type1
6054,colleague,type1
37081,colleague,type1
33284,colleague,type1
3335,colleague,type1
7806,colleague,type1
93672,colleague,type1
75260,colleague,type1
52002,colleague,type1
50023,colleague,type1
7038,colleague,type1
32828,colleague,type1
99617,colleague,type1
34858,colleague,type1
28744,colleague,type1
43619,colleague,type1
96342,colleague,type1
27404,colleague,type1
1599,colleague,type1
98501,colleague,type1
94376,colleague,type1
44546,colleague,type1
6724,colleague,type1
10834,colleague,type1
88949,colleague,type1
54547,colleague,type1
76270,colleague,type1
64321,colleague,type1
73770,colleague,type1
39477,colleague,type1
29501,colleague,type1
2174,colleague,type1
83480,colleague,type1
49193,colleague,type1
7242,colleague,type1
784,colleague,type1
65196,colleague,type1
80364,colleague,type1
8056,colleague,type1
69621,colleague,type1
97479,colleague,type1
34537,colleague,type1
15088,colleague,type1
65969,colleague,type1
13881,colleague,type1
76026,colleague,type1
92875,colleague,type1
69841,colleague,type1
21392,colleague,type1
90607,colleague,type1
88400,colleague,type1
70964,colleague,type1
63029,colleague,type1
80337,colleague,type1
14656,colleague,type1
89730,colleague,type1
93055,colleague,type1
68699,colleague,type1
68229,colleague,type1
13407,colleague,type1
887,colleague,type1
48011,colleague,type1
3092,colleague,type1
57772,colleague,type1
31269,colleague,type1
69355,colleague,type1
9363,colleague,type1
30714,colleague,type1
39631,colleague,type1
33994,colleague,type1
96016,colleague,type1
67648,colleague,type1
89434,colleague,type1
90146,colleague,type1
8611,colleague,type1
3183,colleague,type1
18533,colleague,type1
6470,colleague,type1
27405,colleague,type1
97140,colleague,type1
58911,colleague,type1
20213,colleague,type1
17450,colleague,type1
63072,colleague,type1
84089,colleague,type1
42081,colleague,type1
79147,colleague,type1
80053,colleague,type1
61309,colleague,type1
54502,colleague,type1
94793,colleague,type1
24728,colleague,type1
36919,colleague,type1
46738,colleague,type1
62404,colleague,type1
49860,colleague,type1
9117,colleague,type1
43405,colleague,type1
97885,colleague,type1
15768,colleague,type1
13218,colleague,type1
93239,colleague,type1
20217,colleague,type1
13591,colleague,type1
65665,colleague,type1
27376,colleague,type1
1638,colleague,type1
35853,colleague,type1
70742,colleague,type1
39061,colleague,type1
48727,colleague,type1
21809,colleague,type1
26639,colleague,type1
62427,colleague,type1
87467,colleague,type1
53948,colleague,type1
5032,colleague,type1
68774,colleague,type1
40321,colleague,type1
95596,colleague,type1
2955,colleague,type1
91794,colleague,type1
45479,colleague,type1
63272,colleague,type1
67144,colleague,type1
7228,colleague,type1
47704,colleague,type1
74691,colleague,type1
4429,colleague,type1
13670,colleague,type1
85867,colleague,type1
18192,colleague,type1
28414,colleague,type1
55092,colleague,type1
4394,colleague,type1
74901,colleague,type1
2683,colleague,type1
87826,colleague,type1
13963,colleague,type1
29925,colleague,type1
61097,colleague,type1
13638,colleague,type1
77924,colleague,type1
91706,colleague,type1
87880,colleague,type1
18305,colleague,type1
74062,colleague,type1
83006,colleague,type1
39778,colleague,type1
32368,colleague,type1
12943,colleague,type1
67262,colleague,type1
48186,colleague,type1
6015,colleague,type1
34921,colleague,type1
28976,colleague,type1
16779,colleague,type1
88240,colleague,type1
4870,colleague,type1
32981,colleague,type1
75676,colleague,type1
69388,colleague,type1
97318,colleague,type1
42411,colleague,type1
13222,colleague,type1
99496,colleague,type1
1932,colleague,type1
80135,colleague,type1
88488,colleague,type1
57075,colleague,type1
40167,colleague,type1
24981,colleague,type1
57149,colleague,type1
14030,colleague,type1
45553,colleague,type1
80750,colleague,type1
49600,colleague,type1
93262,colleague,type1
25307,colleague,type1
63112,colleague,type1
14080,colleague,type1
95733,colleague,type1
63228,colleague,type1
4845,colleague,type1
45785,colleague,type1
74470,colleague,type1
32822,colleague,type1
23309,colleague,type1
68884,colleague,type1
35234,colleague,type1
44712,colleague,type1
21863,colleague,type1
30284,colleague,type1
68776,colleague,type1
77528,colleague,type1
13268,colleague,type1
12595,colleague,type1
27847,colleague,type1
15477,colleague,type1
57885,colleague,type1
76683,colleague,type1
45427,colleague,type1
92818,colleague,type1
49478,colleague,type1
67354,colleague,type1
44038,colleague,type1
31247,colleague,type1
82095,colleague,type1
63396,colleague,type1
96977,colleague,type1
33426,colleague,type1
46541,colleague,type1
23893,colleague,type1
86853,colleague,type1
45493,colleague,type1
33601,colleague,type1
16524,colleague,type1
56913,colleague,type1
36891,colleague,type1
18626,colleague,type1
1666,colleague,type1
34756,colleague,type1
66669,colleague,type1
55422,colleague,type1
39060,colleague,type1
88176,colleague,type1
21197,colleague,type1
92217,colleague,type1
39661,colleague,type1
56984,colleague,type1
9570,colleague,type1
49937,colleague,type1
59581,colleague,type1
21955,colleague,type1
15915,colleague,type1
94012,colleague,type1
25362,colleague,type1
27412,colleague,type1
79849,colleague,type1
26063,colleague,type1
77984,colleague,type1
41940,colleague,type1
88645,colleague,type1
87881,colleague,type1
12242,colleague,type1
23236,colleague,type1
94201,colleague,type1
91672,colleague,type1
36605,colleague,type1
82179,colleague,type1
12117,colleague,type1
53631,colleague,type1
48679,colleague,type1
13115,colleague,type1
63955,colleague,type1
16638,colleague,type1
46827,colleague,type1
46060,colleague,type1
60266,colleague,type1
5029,colleague,type1
62290,colleague,type1
89414,colleague,type1
94137,colleague,type1
58551,colleague,type1
71167,colleague,type1
42692,colleague,type1
54010,colleague,type1
44409,colleague,type1
94632,colleague,type1
51747,colleague,type1
21453,colleague,type1
42627,colleague,type1
97637,colleague,type1
66062,colleague,type1
71259,colleague,type1
55007,colleague,type1
62050,colleague,type1
23494,colleague,type1
38720,colleague,type1
24349,colleague,type1
7654,colleague,type1
85699,colleague,type1
98036,colleague,type1
32455,colleague,type1
91032,colleague,type1
6897,colleague,type1
51077,colleague,type1
13633,colleague,type1
48273,colleague,type1
10234,colleague,type1
75572,colleague,type1
50788,colleague,type1
8847,colleague,type1
34483,colleague,type1
72492,colleague,type1
54332,colleague,type1
30252,colleague,type1
50080,colleague,type1
98057,colleague,type1
30180,colleague,type1
92527,colleague,type1
24618,colleague,type1
6644,colleague,type1
24841,colleague,type1
20067,colleague,type1
6646,colleague,type1
90581,colleague,type1
50112,colleague,type1
75668,colleague,type1
66439,colleague,type1
16595,colleague,type1
71373,colleague,type1
49051,colleague,type1
34544,colleague,type1
1512,colleague,type1
82726,colleague,type1
72794,colleague,type1
43090,colleague,type1
16422,colleague,type1
85116,colleague,type1
83961,colleague,type1
29156,colleague,type1
89577,colleague,type1
45031,colleague,type1
67096,colleague,type1
53522,colleague,type1
61430,colleague,type1
33512,colleague,type1
45513,colleague,type1
90767,colleague,type1
11846,colleague,type1
25667,colleague,type1
27636,colleague,type1
63975,colleague,type1
50139,colleague,type1
86945,colleague,type1
87092,colleague,type1
68015,colleague,type1
79614,colleague,type1
31440,colleague,type1
57534,colleague,type1
26472,colleague,type1
6984,colleague,type1
33911,colleague,type1
44716,colleague,type1
57919,colleague,type1
95350,colleague,type1
95241,colleague,type1
59719,colleague,type1
30530,colleague,type2
36647,colleague,type2
64269,colleague,type2
48051,colleague,type2
1970,colleague,type2
96871,colleague,type2
70897,colleague,type2
98417,colleague,type2
77678,colleague,type2
98047,colleague,type2
60563,colleague,type2
414,colleague,type2
84965,colleague,type2
92885,colleague,type2
85539,colleague,type2
74228,colleague,type2
35778,colleague,type2
66713,colleague,type2
8567,colleague,type2
87555,colleague,type2
91021,colleague,type2
59712,colleague,type2
33274,colleague,type2
95242,colleague,type2
70731,colleague,type2
41780,colleague,type2
35225,colleague,type2
47114,colleague,type2
13272,colleague,type2
5645,colleague,type2
70436,colleague,type2
2802,colleague,type2
87433,colleague,type2
90992,colleague,type2
4943,colleague,type2
46559,colleague,type2
82128,colleague,type2
35540,colleague,type2
48703,colleague,type2
4689,colleague,type2
73081,colleague,type2
43005,colleague,type2
23718,colleague,type2
75731,colleague,type2
13541,colleague,type2
86616,colleague,type2
30351,colleague,type2
54421,colleague,type2
71902,colleague,type2
89585,colleague,type2
62633,colleague,type2
51413,colleague,type2
51492,colleague,type2
67532,colleague,type2
20238,colleague,type2
95209,colleague,type2
12159,colleague,type2
31132,colleague,type2
21933,colleague,type2
28680,colleague,type2
61453,colleague,type2
99444,colleague,type2
25410,colleague,type2
98222,colleague,type2
48954,colleague,type2
62123,colleague,type2
1008,colleague,type2
19795,colleague,type2
36123,colleague,type2
12859,colleague,type2
60685,colleague,type2
93590,colleague,type2
41731,colleague,type2
59544,colleague,type2
34132,colleague,type2
28150,colleague,type2
44752,colleague,type2
63384,colleague,type2
28424,colleague,type2
17067,colleague,type2
61320,colleague,type2
11181,colleague,type2
1265,colleague,type2
66955,colleague,type2
47361,colleague,type2
55499,colleague,type2
37773,colleague,type2
25554,colleague,type2
59135,colleague,type2
50648,colleague,type2
67134,colleague,type2
98434,colleague,type2
15793,colleague,type2
28005,colleague,type2
77462,colleague,type2
12394,colleague,type2
12290,colleague,type2
31377,colleague,type2
45615,colleague,type2
18899,colleague,type2
79698,colleague,type2
5891,colleague,type2
27880,colleague,type2
30874,colleague,type2
10085,colleague,type2
75200,colleague,type2
90043,colleague,type2
18262,colleague,type2
27723,colleague,type2
76733,colleague,type2
60635,colleague,type2
79115,colleague,type2
81153,colleague,type2
61280,colleague,type2
70824,colleague,type2
87061,colleague,type2
55735,colleague,type2
81463,colleague,type2
29791,colleague,type2
84810,colleague,type2
18415,colleague,type2
40262,colleague,type2
91800,colleague,type2
78720,colleague,type2
23436,colleague,type2
23329,colleague,type2
77289,colleague,type2
24637,colleague,type2
23120,colleague,type2
23021,colleague,type2
35384,colleague,type2
36942,colleague,type2
44071,colleague,type2
6211,colleague,type2
40833,colleague,type2
69782,colleague,type2
1906,colleague,type2
8566,colleague,type2
68275,colleague,type2
54367,colleague,type2
31610,colleague,type2
65175,colleague,type2
2349,colleague,type2
59772,colleague,type2
91404,colleague,type2
54988,colleague,type2
88062,colleague,type2
51626,colleague,type2
12781,colleague,type2
355,colleague,type2
32083,colleague,type2
7844,colleague,type2
57355,colleague,type2
23333,colleague,type2
51985,colleague,type2
90802,colleague,type2
27855,colleague,type2
22279,colleague,type2
78391,colleague,type2
65372,colleague,type2
8719,colleague,type2
59910,colleague,type2
18263,colleague,type2
48977,colleague,type2
90823,colleague,type2
92278,colleague,type2
59150,colleague,type2
55884,colleague,type2
15913,colleague,type2
99193,colleague,type2
2405,colleague,type2
75789,colleague,type2
8475,colleague,type2
68269,colleague,type2
17819,colleague,type2
9884,colleague,type2
95983,colleague,type2
56458,colleague,type2
22341,colleague,type2
636,colleague,type2
63148,colleague,type2
89382,colleague,type2
44038,colleague,type2
49500,colleague,type2
89628,colleague,type2
68940,colleague,type2
8637,colleague,type2
38215,colleague,type2
35484,colleague,type2
3185,colleague,type2
46114,colleague,type2
56742,colleague,type2
1366,colleague,type2
3381,colleague,type2
50866,colleague,type2
62749,colleague,type2
3912,colleague,type2
62828,colleague,type2
62413,colleague,type2
8657,colleague,type2
57832,colleague,type2
82169,colleague,type2
36275,colleague,type2
18972,colleague,type2
62001,colleague,type2
50177,colleague,type2
94708,colleague,type2
41032,colleague,type2
30699,colleague,type2
97635,colleague,type2
90379,colleague,type2
1577,colleague,type2
84551,colleague,type2
97738,colleague,type2
92460,colleague,type2
6599,colleague,type2
32997,colleague,type2
57384,colleague,type2
42460,colleague,type2
32346,colleague,type2
26734,colleague,type2
78224,colleague,type2
64582,colleague,type2
57711,colleague,type2
89866,colleague,type2
9408,colleague,type2
47099,colleague,type2
28292,colleague,type2
24583,colleague,type2
94580,colleague,type2
98137,colleague,type2
52566,colleague,type2
8509,colleague,type2
82804,colleague,type2
52054,colleague,type2
75252,colleague,type2
94658,colleague,type2
29555,colleague,type2
83209,colleague,type2
25531,colleague,type2
37485,colleague,type2
52245,colleague,type2
27205,colleague,type2
7012,colleague,type2
90762,colleague,type2
94652,colleague,type2
294,colleague,type2
42293,colleague,type2
65057,colleague,type2
8971,colleague,type2
71695,colleague,type2
40056,colleague,type2
65904,colleague,type2
38537,colleague,type2
93771,colleague,type2
48889,colleague,type2
37799,colleague,type2
78632,colleague,type2
66144,colleague,type2
55902,colleague,type2
46192,colleague,type2
92695,colleague,type2
9761,colleague,type2
73630,colleague,type2
79987,colleague,type2
9368,colleague,type2
88486,colleague,type2
66606,colleague,type2
35053,colleague,type2
50985,colleague,type2
88714,colleague,type2
60865,colleague,type2
67506,colleague,type2
41341,colleague,type2
25679,colleague,type2
71574,colleague,type2
67662,colleague,type2
57384,colleague,type2
90524,colleague,type2
38002,colleague,type2
56721,colleague,type2
33784,colleague,type2
51575,colleague,type2
78164,colleague,type2
93853,colleague,type2
76022,colleague,type2
19634,colleague,type2
87615,colleague,type2
52483,colleague,type2
76267,colleague,type2
45383,colleague,type2
5110,colleague,type2
62286,colleague,type2
81909,colleague,type2
26650,colleague,type2
63119,colleague,type2
41122,colleague,type2
54119,colleague,type2
97966,colleague,type2
96627,colleague,type2
71881,colleague,type2
10608,colleague,type2
16272,colleague,type2
62981,colleague,type2
11695,colleague,type2
74486,colleague,type2
38258,colleague,type2
93492,colleague,type2
2466,colleague,type2
44313,colleague,type2
37630,colleague,type2
98242,colleague,type2
15558,colleague,type2
81278,colleague,type2
35300,colleague,type2
1991,colleague,type2
82483,colleague,type2
63326,colleague,type2
70242,colleague,type2
63810,colleague,type2
22306,colleague,type2
38558,colleague,type2
57768,colleague,type2
9810,colleague,type2
51713,colleague,type2
61936,colleague,type2
68283,colleague,type2
51673,colleague,type2
65837,colleague,type2
26663,colleague,type2
15517,colleague,type2
7654,colleague,type2
86315,colleague,type2
46239,colleague,type2
96888,colleague,type2
43458,colleague,type2
10997,colleague,type2
33473,colleague,type2
32740,colleague,type2
9490,colleague,type2
56185,colleague,type2
32420,colleague,type2
77936,colleague,type2
78819,colleague,type2
47111,colleague,type2
34947,colleague,type2
55838,colleague,type2
13410,colleague,type2
95198,colleague,type2
76344,colleague,type2
23503,colleague,type2
74586,colleague,type2
22963,colleague,type2
92734,colleague,type2
63730,colleague,type2
77073,colleague,type2
33133,colleague,type2
43171,colleague,type2
58819,colleague,type2
55033,colleague,type2
86948,colleague,type2
31965,colleague,type2
69542,colleague,type2
74761,colleague,type2
78808,colleague,type2
24306,colleague,type2
23199,colleague,type2
65145,colleague,type2
96091,colleague,type2
46638,colleague,type2
50729,colleague,type2
90209,colleague,type2
75622,colleague,type2
73215,colleague,type2
89274,colleague,type2
64868,colleague,type2
99007,colleague,type2
77724,colleague,type2
46022,colleague,type2
98698,colleague,type2
67570,colleague,type2
32548,colleague,type2
55468,colleague,type2
4017,colleague,type2
33174,colleague,type2
81173,colleague,type2
48265,colleague,type2
54151,colleague,type2
44075,colleague,type2
55646,colleague,type2
86023,colleague,type2
65468,colleague,type2
70267,colleague,type2
93794,colleague,type2
98765,colleague,type2
75873,colleague,type2
57428,colleague,type2
55403,colleague,type2
21474,colleague,type2
47698,colleague,type2
82632,colleague,type2
57938,colleague,type2
41703,colleague,type2
46047,colleague,type2
74994,colleague,type2
23866,colleague,type2
91137,colleague,type2
12080,colleague,type2
67573,colleague,type2
21941,colleague,type2
76094,colleague,type2
78341,colleague,type2
81126,colleague,type2
2720,colleague,type2
12602,colleague,type2
39850,colleague,type2
12122,colleague,type2
31871,colleague,type2
861,colleague,type2
56503,colleague,type2
12445,colleague,type2
97343,colleague,type2
12363,colleague,type2
60363,colleague,type2
29297,colleague,type2
27522,colleague,type2
59201,colleague,type2
38897,colleague,type2
24193,colleague,type2
31031,colleague,type2
51196,colleague,type2
92222,colleague,type2
78300,colleague,type2
3508,colleague,type3
13772,colleague,type3
75661,colleague,type3
46526,colleague,type3
34227,colleague,type3
3714,colleague,type3
2658,colleague,type3
8221,colleague,type3
23177,colleague,type3
6847,colleague,type3
70416,colleague,type3
67248,colleague,type3
93447,colleague,type3
45366,colleague,type3
91907,colleague,type3
89933,colleague,type3
48369,colleague,type3
26481,colleague,type3
82518,colleague,type3
87410,colleague,type3
63097,colleague,type3
66494,colleague,type3
18860,colleague,type3
77175,colleague,type3
20337,colleague,type3
91453,colleague,type3
50842,colleague,type3
92791,colleague,type3
13618,colleague,type3
54048,colleague,type3
83487,colleague,type3
23289,colleague,type3
1133,colleague,type3
24249,colleague,type3
16422,colleague,type3
82454,colleague,type3
23803,colleague,type3
19584,colleague,type3
67950,colleague,type3
34685,colleague,type3
98981,colleague,type3
17988,colleague,type3
185,colleague,type3
58026,colleague,type3
73371,colleague,type3
64845,colleague,type3
58869,colleague,type3
78041,colleague,type3
8400,colleague,type3
3361,colleague,type3
94130,colleague,type3
47205,colleague,type3
23636,colleague,type3
19626,colleague,type3
14656,colleague,type3
46307,colleague,type3
26783,colleague,type3
77238,colleague,type3
33443,colleague,type3
3092,colleague,type3
38007,colleague,type3
23784,colleague,type3
46627,colleague,type3
88916,colleague,type3
86756,colleague,type3
64716,colleague,type3
84051,colleague,type3
82508,colleague,type3
61286,colleague,type3
99179,colleague,type3
20814,colleague,type3
19682,colleague,type3
52890,colleague,type3
53113,colleague,type3
98174,colleague,type3
53589,colleague,type3
20451,colleague,type3
19833,colleague,type3
33427,colleague,type3
7181,colleague,type3
92983,colleague,type3
68789,colleague,type3
21067,colleague,type3
65809,colleague,type3
83145,colleague,type3
25563,colleague,type3
86657,colleague,type3
78922,colleague,type3
91710,colleague,type3
98646,colleague,type3
70703,colleague,type3
87579,colleague,type3
4387,colleague,type3
89776,colleague,type3
5908,colleague,type3
43528,colleague,type3
76945,colleague,type3
64186,colleague,type3
863,colleague,type3
49822,colleague,type3
19706,colleague,type3
21777,colleague,type3
38586,colleague,type3
65014,colleague,type3
4862,colleague,type3
65944,colleague,type3
10011,colleague,type3
1916,colleague,type3
37651,colleague,type3
91064,colleague,type3
49879,colleague,type3
88336,colleague,type3
77247,colleague,type3
13183,colleague,type3
11647,colleague,type3
46359,colleague,type3
41405,colleague,type3
26097,colleague,type3
69397,colleague,type3
35866,colleague,type3
38833,colleague,type3
10607,colleague,type3
27119,colleague,type3
15486,colleague,type3
45257,colleague,type3
51984,colleague,type3
55321,colleague,type3
25847,colleague,type3
74350,colleague,type3
45645,colleague,type3
26144,colleague,type3
195,colleague,type3
67040,colleague,type3
10681,colleague,type3
67565,colleague,type3
91877,colleague,type3
41461,colleague,type3
68821,colleague,type3
80604,colleague,type3
75203,colleague,type3
80621,colleague,type3
14648,colleague,type3
33004,colleague,type3
83005,colleague,type3
91170,colleague,type3
90598,colleague,type3
45283,colleague,type3
99667,colleague,type3
43452,colleague,type3
4089,colleague,type3
54477,colleague,type3
43041,colleague,type3
56477,colleague,type3
95692,colleague,type3
34586,colleague,type3
5927,colleague,type3
26735,colleague,type3
91357,colleague,type3
2855,colleague,type3
5964,colleague,type3
97813,colleague,type3
59819,colleague,type3
14528,colleague,type3
2289,colleague,type3
86267,colleague,type3
88642,colleague,type3
8130,colleague,type3
21197,colleague,type3
19621,colleague,type3
42723,colleague,type3
79857,colleague,type3
60514,colleague,type3
44454,colleague,type3
60370,colleague,type3
2064,colleague,type3
62418,colleague,type3
11340,colleague,type3
27771,colleague,type3
18220,colleague,type3
74485,colleague,type3
6709,colleague,type3
17928,colleague,type3
27234,colleague,type3
89991,colleague,type3
56885,colleague,type3
6762,colleague,type3
18238,colleague,type3
86712,colleague,type3
45183,colleague,type3
76123,colleague,type3
17617,colleague,type3
72998,colleague,type3
52661,colleague,type3
50574,colleague,type3
18529,colleague,type3
2266,colleague,type3
48134,colleague,type3
6754,colleague,type3
11196,colleague,type3
53924,colleague,type3
58557,colleague,type3
54418,colleague,type3
39837,colleague,type3
69085,colleague,type3
13790,colleague,type3
70749,colleague,type3
12655,colleague,type3
71215,colleague,type3
20874,colleague,type3
6547,colleague,type3
71529,colleague,type3
13685,colleague,type3
82303,colleague,type3
27636,colleague,type3
97550,colleague,type3
48013,colleague,type3
66456,colleague,type3
61774,colleague,type3
34552,colleague,type3
94982,colleague,type3
65081,colleague,type3
5217,colleague,type3
25790,colleague,type3
81191,colleague,type3
57980,colleague,type3
31598,colleague,type3
37806,colleague,type3
73783,colleague,type3
91324,colleague,type3
38932,colleague,type3
52383,colleague,type3
30335,colleague,type3
87057,colleague,type3
59658,colleague,type3
62857,colleague,type3
50560,colleague,type3
78834,colleague,type3
93386,colleague,type3
24207,colleague,type3
40873,colleague,type3
52083,colleague,type3
83080,colleague,type3
80596,colleague,type3
84618,colleague,type3
572,colleague,type3
54587,colleague,type3
52697,colleague,type3
56626,colleague,type3
98788,colleague,type3
44299,colleague,type3
82471,colleague,type3
7637,colleague,type3
39500,colleague,type3
42776,colleague,type3
75872,colleague,type3
93198,colleague,type3
97709,colleague,type3
22992,colleague,type3
98881,colleague,type3
71324,colleague,type3
1126,colleague,type3
51853,colleague,type3
60346,colleague,type3
89733,colleague,type3
56678,colleague,type3
33236,colleague,type3
40198,colleague,type3
9287,colleague,type3
1549,colleague,type3
35428,colleague,type3
71059,colleague,type3
51016,colleague,type3
41568,colleague,type3
16346,colleague,type3
75319,colleague,type3
50625,colleague,type3
75610,colleague,type3
42988,colleague,type3
99078,colleague,type3
86998,colleague,type3
23147,colleague,type3
77645,colleague,type3
35651,colleague,type3
3854,colleague,type3
4443,colleague,type3
58609,colleague,type3
9735,colleague,type3
43663,colleague,type3
66349,colleague,type3
23161,colleague,type3
26248,colleague,type3
59605,colleague,type3
98642,colleague,type3
93778,colleague,type3
88746,colleague,type3
75054,colleague,type3
53219,colleague,type3
50275,colleague,type3
46184,colleague,type3
78804,colleague,type3
18690,colleague,type3
46802,colleague,type3
22049,colleague,type3
85286,colleague,type3
67817,colleague,type3
51273,colleague,type3
23801,colleague,type3
63314,colleague,type3
78644,colleague,type3
79739,colleague,type3
35926,colleague,type3
86344,colleague,type3
66835,colleague,type3
10404,colleague,type3
47413,colleague,type3
100000,colleague,type3
4348,colleague,type3
2486,colleague,type3
75059,colleague,type3
21067,colleague,type3
25848,colleague,type3
81680,colleague,type3
55920,colleague,type3
6285,colleague,type3
52830,colleague,type3
29188,colleague,type3
31821,colleague,type3
67272,colleague,type3
59142,colleague,type3
88826,colleague,type3
11058,colleague,type3
21206,colleague,type3
34047,colleague,type3
45667,colleague,type3
87623,colleague,type3
87578,colleague,type3
62587,colleague,type3
51916,colleague,type3
66755,colleague,type3
37661,colleague,type3
83585,colleague,type3
71048,colleague,type3
79112,colleague,type3
9373,colleague,type3
85972,colleague,type3
65676,colleague,type3
95970,colleague,type3
43742,colleague,type3
68061,colleague,type3
43372,colleague,type3
23506,colleague,type3
75295,colleague,type3
44499,colleague,type3
26220,colleague,type3
239,colleague,type3
58473,colleague,type3
46161,colleague,type3
17130,colleague,type3
59524,colleague,type3
89495,colleague,type3
70669,colleague,type3
4474,colleague,type3
80584,colleague,type3
84640,colleague,type3
32144,colleague,type3
5185,colleague,type3
70960,colleague,type3
14355,colleague,type3
52112,colleague,type3
5128,colleague,type3
73501,colleague,type3
9232,colleague,type3
226,colleague,type3
10195,colleague,type3
49635,colleague,type3
71600,colleague,type3
47522,colleague,type3
78150,colleague,type3
59800,colleague,type3
6953,colleague,type3
26096,colleague,type3
33510,colleague,type3
67834,colleague,type3
12431,colleague,type3
14309,colleague,type3
73320,colleague,type3
53121,colleague,type3
3821,colleague,type3
89816,colleague,type3
81540,colleague,type3
10402,colleague,type3
36990,colleague,type3
63802,colleague,type3
23082,colleague,type3
11910,colleague,type3
99260,colleague,type3
12887,colleague,type3
81705,colleague,type3
40037,colleague,type3
52430,colleague,type3
26886,colleague,type3
30057,colleague,type3
97808,colleague,type3
57246,colleague,type3
63442,colleague,type3
28552,colleague,type3
90899,colleague,type3
77466,colleague,type3
97143,colleague,type3
99212,colleague,type3
14095,colleague,type3
8956,colleague,type3
23219,colleague,type3
16917,colleague,type3
42439,colleague,type3
2896,colleague,type3
68239,colleague,type3
3529,colleague,type3
65351,colleague,type3
246,colleague,type3
8822,colleague,type3
41031,colleague,type3
6120,colleague,type3
22046,colleague,type3
46198,colleague,type3
19397,colleague,type3
1650,colleague,type3
12013,colleague,type3
4530,colleague,type3
46889,colleague,type3
26364,colleague,type3
48021,colleague,type3
40267,colleague,type3
15746,colleague,type3
15100,colleague,type3
